date,price
12/06/2016,1243.3839
13/06/2016,1310.0727
14/06/2016,1296.6772
15/06/2016,1306.1998
16/06/2016,1439.1139
17/06/2016,1371.9104
18/06/2016,1350.8663
19/06/2016,1373.7882
20/06/2016,1322.6533
21/06/2016,1218.2431
22/06/2016,1096.957
23/06/2016,1155.3415
24/06/2016,1221.1027
25/06/2016,1231.7767
26/06/2016,1170.3757
27/06/2016,1206.8207
28/06/2016,1193.7475
29/06/2016,1180.8583
30/06/2016,1239.8266
1/07/2016,1242.2357
2/07/2016,1262.3808
3/07/2016,1217.4626
4/07/2016,1239.3708
5/07/2016,1211.1127
6/07/2016,1224.3977
7/07/2016,1159.0677
8/07/2016,1216.6541
9/07/2016,1195.7836
10/07/2016,1190.8927
11/07/2016,1188.8521
12/07/2016,1239.5869
13/07/2016,1229.7354
14/07/2016,1235.7058
15/07/2016,1247.6139
16/07/2016,1246.3781
17/07/2016,1265.1144
18/07/2016,1250.043
19/07/2016,1269.5264
20/07/2016,1270.3365
21/07/2016,1260.7918
22/07/2016,1253.8664
23/07/2016,1245.8373
24/07/2016,1243.1124
25/07/2016,1239.2711
26/07/2016,1210.3166
27/07/2016,1227.0208
28/07/2016,1226.4325
29/07/2016,1225.324
30/07/2016,1221.6853
31/07/2016,1165.4658
1/08/2016,1127.1861
2/08/2016,960.6879
3/08/2016,1057.8941
4/08/2016,1081.2972
5/08/2016,1082.595
6/08/2016,1101.545
7/08/2016,1109.6798
8/08/2016,1108.2943
9/08/2016,1107.0324
10/08/2016,1115.6094
11/08/2016,1108.3249
12/08/2016,1107.7727
13/08/2016,1101.952
14/08/2016,1077.9881
15/08/2016,1071.9146
16/08/2016,1079.6747
17/08/2016,1075.4037
18/08/2016,1077.3633
19/08/2016,1079.5149
20/08/2016,1096.8792
21/08/2016,1091.9803
22/08/2016,1100.6212
23/08/2016,1093.7968
24/08/2016,1087.3162
25/08/2016,1084.7024
26/08/2016,1086.9893
27/08/2016,1070.6264
28/08/2016,1081.0255
29/08/2016,1084.0887
30/08/2016,1089.6008
31/08/2016,1084.4265
1/09/2016,1087.9839
2/09/2016,1094.3689
3/09/2016,1126.5858
4/09/2016,1148.8656
5/09/2016,1147.506
6/09/2016,1150.2991
7/09/2016,1155.587
8/09/2016,1171.0645
9/09/2016,1166.9335
10/09/2016,1174.2921
11/09/2016,1138.4676
12/09/2016,1142.066
13/09/2016,1143.3225
14/09/2016,1147.2662
15/09/2016,1147.983
16/09/2016,1151.1544
17/09/2016,1150.5677
18/09/2016,1151.9782
19/09/2016,1159.2923
20/09/2016,1167.2888
21/09/2016,1141.1875
22/09/2016,1137.2231
23/09/2016,1150.8218
24/09/2016,1148.3933
25/09/2016,1148.1026
26/09/2016,1155.0128
27/09/2016,1154.5762
28/09/2016,1158.4433
29/09/2016,1156.7434
30/09/2016,1163.3544
1/10/2016,1167.0728
2/10/2016,1162.3388
3/10/2016,1166.287
4/10/2016,1158.6002
5/10/2016,1158.4266
6/10/2016,1155.8596
7/10/2016,1160.9899
8/10/2016,1157.8429
9/10/2016,1154.6576
10/10/2016,1152.0252
11/10/2016,1194.021
12/10/2016,1185.1088
13/10/2016,1184.4169
14/10/2016,1191.9845
15/10/2016,1187.3126
16/10/2016,1192.7487
17/10/2016,1187.2574
18/10/2016,1189.7425
19/10/2016,1174.9619
20/10/2016,1177.6668
21/10/2016,1180.3716
22/10/2016,1214.3562
23/10/2016,1210.7802
24/10/2016,1208.3669
25/10/2016,1207.9176
26/10/2016,1241.7357
27/10/2016,1255.1239
28/10/2016,1262.2404
29/10/2016,1287.9001
30/10/2016,1270.016
31/10/2016,1268.6313
1/11/2016,1314.6496
2/11/2016,1322.9264
3/11/2016,1247.233
4/11/2016,1277.209
5/11/2016,1283.1362
6/11/2016,1294.2375
7/11/2016,1284.1882
8/11/2016,1289.56
9/11/2016,1305.7884
10/11/2016,1292.3615
11/11/2016,1296.0248
12/11/2016,1272.2746
13/11/2016,1274.6462
14/11/2016,1279.1409
15/11/2016,1289.7264
16/11/2016,1331.2684
17/11/2016,1325.9009
18/11/2016,1337.0065
19/11/2016,1341.8611
20/11/2016,1305.2569
21/11/2016,1318.9914
22/11/2016,1339.6046
23/11/2016,1326.8914
24/11/2016,1314.6888
25/11/2016,1318.3629
26/11/2016,1310.0453
27/11/2016,1301.2111
28/11/2016,1305.3105
29/11/2016,1298.8991
30/11/2016,1320.7959
1/12/2016,1335.3128
2/12/2016,1355.596
3/12/2016,1348.7767
4/12/2016,1346.4168
5/12/2016,1317.1028
6/12/2016,1335.1949
7/12/2016,1350.2182
8/12/2016,1360.3592
9/12/2016,1364.8548
10/12/2016,1364.5898
11/12/2016,1359.1566
12/12/2016,1377.365
13/12/2016,1376.2164
14/12/2016,1371.2502
15/12/2016,1368.7478
16/12/2016,1379.7342
17/12/2016,1389.6658
18/12/2016,1391.7896
19/12/2016,1393.0641
20/12/2016,1407.1886
21/12/2016,1450.613
22/12/2016,1498.9529
23/12/2016,1588.4579
24/12/2016,1551.0762
25/12/2016,1554.4749
26/12/2016,1568.7907
27/12/2016,1612.1965
28/12/2016,1694.9281
29/12/2016,1695.3751
30/12/2016,1680.1697
31/12/2016,1688.6176
1/01/2017,1737.4156
2/01/2017,1777.5859
3/01/2017,1815.8176
4/01/2017,1987.1931
5/01/2017,1751.5818
6/01/2017,1593.4641
7/01/2017,1598.9315
8/01/2017,1616.2322
9/01/2017,1607.6978
10/01/2017,1619.5169
11/01/2017,1410.3732
12/01/2017,1438.0087
13/01/2017,1477.2657
14/01/2017,1469.4081
15/01/2017,1475.9274
16/01/2017,1486.6152
17/01/2017,1613.8464
18/01/2017,1564.329
19/01/2017,1604.5173
20/01/2017,1596.8677
21/01/2017,1645.8508
22/01/2017,1642.998
23/01/2017,1644.0331
24/01/2017,1585.6323
