DATE,DTB4WK
1/07/2015,0.01
2/07/2015,0.01
3/07/2015,.
6/07/2015,0.01
7/07/2015,0.02
8/07/2015,0.02
9/07/2015,0.02
10/07/2015,0.01
13/07/2015,0.02
14/07/2015,0.03
15/07/2015,0.03
16/07/2015,0.03
17/07/2015,0.03
20/07/2015,0.03
21/07/2015,0.04
22/07/2015,0.04
23/07/2015,0.04
24/07/2015,0.04
27/07/2015,0.04
28/07/2015,0.05
29/07/2015,0.05
30/07/2015,0.05
31/07/2015,0.04
3/08/2015,0.02
4/08/2015,0.05
5/08/2015,0.05
6/08/2015,0.04
7/08/2015,0.03
10/08/2015,0.02
11/08/2015,0.06
12/08/2015,0.06
13/08/2015,0.06
14/08/2015,0.04
17/08/2015,0.02
18/08/2015,0.05
19/08/2015,0.05
20/08/2015,0.01
21/08/2015,0.02
24/08/2015,0.02
25/08/2015,0.04
26/08/2015,0.03
27/08/2015,0.02
28/08/2015,0.02
31/08/2015,0
1/09/2015,0.01
2/09/2015,0.01
3/09/2015,0.02
4/09/2015,0.02
7/09/2015,.
8/09/2015,0.02
9/09/2015,0.02
10/09/2015,0.02
11/09/2015,0.04
14/09/2015,0.02
15/09/2015,0
16/09/2015,-0.01
17/09/2015,-0.01
18/09/2015,-0.01
21/09/2015,-0.01
22/09/2015,-0.02
23/09/2015,-0.03
24/09/2015,-0.03
25/09/2015,-0.02
28/09/2015,-0.02
29/09/2015,-0.01
30/09/2015,-0.02
1/10/2015,-0.01
2/10/2015,-0.02
5/10/2015,-0.02
6/10/2015,-0.01
7/10/2015,0
8/10/2015,-0.01
9/10/2015,0.01
12/10/2015,.
13/10/2015,0
14/10/2015,0
15/10/2015,0
16/10/2015,0.03
19/10/2015,0.07
20/10/2015,0.08
21/10/2015,0.01
22/10/2015,0.02
23/10/2015,0.01
26/10/2015,0.01
27/10/2015,0.01
28/10/2015,0.03
29/10/2015,0.02
30/10/2015,0.01
2/11/2015,0.01
3/11/2015,0.07
4/11/2015,0.07
5/11/2015,0.04
6/11/2015,0.04
9/11/2015,0.05
10/11/2015,0.08
11/11/2015,.
12/11/2015,0.08
13/11/2015,0.03
16/11/2015,0.04
17/11/2015,0.07
18/11/2015,0.07
19/11/2015,0.06
20/11/2015,0.05
23/11/2015,0.05
24/11/2015,0.13
25/11/2015,0.14
26/11/2015,.
27/11/2015,0.13
30/11/2015,0.1
1/12/2015,0.19
2/12/2015,0.19
3/12/2015,0.18
4/12/2015,0.17
7/12/2015,0.2
8/12/2015,0.23
9/12/2015,0.19
10/12/2015,0.19
11/12/2015,0.15
14/12/2015,0.12
15/12/2015,0.21
16/12/2015,0.2
17/12/2015,0.18
18/12/2015,0.16
21/12/2015,0.13
22/12/2015,0.19
23/12/2015,0.19
24/12/2015,0.15
25/12/2015,.
28/12/2015,0.12
29/12/2015,0.18
30/12/2015,0.08
31/12/2015,0.14
1/01/2016,.
4/01/2016,0.17
5/01/2016,0.2
6/01/2016,0.21
7/01/2016,0.2
8/01/2016,0.2
11/01/2016,0.19
12/01/2016,0.22
13/01/2016,0.22
14/01/2016,0.22
15/01/2016,0.19
18/01/2016,.
19/01/2016,0.2
20/01/2016,0.26
21/01/2016,0.27
22/01/2016,0.25
25/01/2016,0.24
26/01/2016,0.29
27/01/2016,0.27
28/01/2016,0.25
29/01/2016,0.21
1/02/2016,0.17
2/02/2016,0.26
3/02/2016,0.27
4/02/2016,0.24
5/02/2016,0.22
8/02/2016,0.2
9/02/2016,0.27
10/02/2016,0.27
11/02/2016,0.27
12/02/2016,0.25
15/02/2016,.
16/02/2016,0.22
17/02/2016,0.28
18/02/2016,0.28
19/02/2016,0.26
22/02/2016,0.27
23/02/2016,0.28
24/02/2016,0.28
25/02/2016,0.26
26/02/2016,0.25
29/02/2016,0.22
1/03/2016,0.29
2/03/2016,0.27
3/03/2016,0.25
4/03/2016,0.25
7/03/2016,0.26
8/03/2016,0.27
9/03/2016,0.27
10/03/2016,0.27
11/03/2016,0.27
14/03/2016,0.27
15/03/2016,0.29
16/03/2016,0.28
17/03/2016,0.29
18/03/2016,0.27
21/03/2016,0.25
22/03/2016,0.28
23/03/2016,0.27
24/03/2016,0.24
25/03/2016,.
28/03/2016,0.18
29/03/2016,0.18
30/03/2016,0.14
31/03/2016,0.18
1/04/2016,0.2
4/04/2016,0.18
5/04/2016,0.19
6/04/2016,0.19
7/04/2016,0.2
8/04/2016,0.2
11/04/2016,0.19
12/04/2016,0.21
13/04/2016,0.21
14/04/2016,0.21
15/04/2016,0.19
18/04/2016,0.15
19/04/2016,0.18
20/04/2016,0.18
21/04/2016,0.19
22/04/2016,0.19
25/04/2016,0.16
26/04/2016,0.19
27/04/2016,0.18
28/04/2016,0.17
29/04/2016,0.16
2/05/2016,0.1
3/05/2016,0.18
4/05/2016,0.18
5/05/2016,0.2
6/05/2016,0.2
9/05/2016,0.21
10/05/2016,0.25
11/05/2016,0.25
12/05/2016,0.25
13/05/2016,0.24
16/05/2016,0.2
17/05/2016,0.25
18/05/2016,0.25
19/05/2016,0.24
20/05/2016,0.25
23/05/2016,0.25
24/05/2016,0.27
25/05/2016,0.23
26/05/2016,0.16
27/05/2016,0.22
30/05/2016,.
31/05/2016,0.27
1/06/2016,0.27
2/06/2016,0.19
3/06/2016,0.18
6/06/2016,0.18
7/06/2016,0.2
8/06/2016,0.2
9/06/2016,0.21
10/06/2016,0.18
13/06/2016,0.22
14/06/2016,0.24
15/06/2016,0.23
